city,country,value
Thisted,Denmark,"0.005333"
Tienen,Belgium,"0.016667"
Tilburg,Netherlands,"0.068667"
Timi,Cyprus,"0.025333"
Tonchevtsi,Bulgaria,"0.005333"
Tonder,Denmark,"0.001333"
Tongeren,Belgium,"0.066667"
Tournai,Belgium,"0.034667"
Traiskirchen,Austria,"0.115333"
Tranbjerg,Denmark,"0.030667"
Traun,Austria,"0.043333"
Trebic,"Czech Republic","0.007333"
Trikomo,Cyprus,"0.020667"
Trinec,"Czech Republic","0.026000"
Trnovec,Croatia,"0.005333"
Trofaiach,Austria,"0.014000"
Trogir,Croatia,"0.000000"
Trorod,Denmark,"0.120667"
Troulli,Cyprus,"0.088667"
Troyan,Bulgaria,"0.000000"
Trutnov,"Czech Republic","0.008000"
Tryavna,Bulgaria,"0.004000"
Tsadha,Cyprus,"0.046000"
Tubize,Belgium,"0.108667"
Tulln,Austria,"0.006000"
Turgovishte,Bulgaria,"0.003333"
Turnhout,Belgium,"0.030000"
Tutrakan,Bulgaria,"0.006667"
"Uherske Hradiste","Czech Republic","0.021333"
"Uhersky Brod","Czech Republic","0.036000"
Umag,Croatia,"0.002667"
"Usti nad Labem","Czech Republic","0.034000"
Utrecht,Netherlands,"0.120000"
Vaerlose,Denmark,"0.236667"
"Valasske Mezirici","Czech Republic","0.018000"
Vallensbaek,Denmark,"0.226000"
Valpovo,Croatia,"0.005333"
Varazdin,Croatia,"0.006000"
Varde,Denmark,"0.012667"
Varna,Bulgaria,"0.017333"
Varnsdorf,"Czech Republic","0.014667"
Veenendaal,Netherlands,"0.054000"
Vejen,Denmark,"0.004000"
Vejle,Denmark,"0.015333"
"Velden am Worthersee",Austria,"0.001333"
"Velika Gorica",Croatia,"0.058667"
"Veliki Preslav",Bulgaria,"0.000000"
"Veliko Turnovo",Bulgaria,"0.008000"
Velingrad,Bulgaria,"0.016000"
"Velsen-Zuid",Netherlands,"0.128000"
Venlo,Netherlands,"0.073333"
Verviers,Belgium,"0.032000"
Viborg,Denmark,"0.006667"
Vidin,Bulgaria,"0.018000"
Villach,Austria,"0.015333"
Vilvoorde,Belgium,"0.232667"
Vinkovci,Croatia,"0.002667"
Virje,Croatia,"0.000667"
Virovitica,Croatia,"0.006667"
Visnjevac,Croatia,"0.027333"
Vlaardingen,Netherlands,"0.290000"
Vocklabruck,Austria,"0.014667"
Vodice,Croatia,"0.002000"
Voitsberg,Austria,"0.002667"
Vojens,Denmark,"0.000000"
Volkermarkt,Austria,"0.004000"
Vordingborg,Denmark,"0.018667"
Voroklini,Cyprus,"0.078000"
Vratsa,Bulgaria,"0.007333"
Vrbovec,Croatia,"0.000000"
Vsetin,"Czech Republic","0.012000"
Vukovar,Croatia,"0.006000"
Vurshets,Bulgaria,"0.002667"
Vyskov,"Czech Republic","0.022000"
"Waidhofen an der Ybbs",Austria,"0.000667"
Wakefield,"United Kingdom","0.297333"
Walsall,"United Kingdom","0.400000"
Waregem,Belgium,"0.097333"
Warrington,"United Kingdom","0.296000"
Waterloo,Belgium,"0.167333"
Watford,"United Kingdom","0.358667"
Wavre,Belgium,"0.078000"
Weert,Netherlands,"0.036000"
"Weinzierl bei Krems",Austria,"0.003333"
Weiz,Austria,"0.005333"
Wels,Austria,"0.010000"
"West Bromwich","United Kingdom","0.506667"
Westerlo,Belgium,"0.041333"
"Weston-super-Mare","United Kingdom","0.029333"
Wetteren,Belgium,"0.103333"
Wevelgem,Belgium,"0.166000"
Wien,Austria,"0.160667"
"Wiener Neudorf",Austria,"0.127333"
"Wiener Neustadt",Austria,"0.030000"
Wigan,"United Kingdom","0.226667"
Willebroek,Belgium,"0.167333"
Woerden,Netherlands,"0.113333"
Woking,"United Kingdom","0.382000"
Wolfsberg,Austria,"0.001333"
Wolfurt,Austria,"0.018000"
Wolverhampton,"United Kingdom","0.340667"
Worcester,"United Kingdom","0.063333"
Worgl,Austria,"0.004000"
Worthing,"United Kingdom","0.042000"
Xeri,Cyprus,"0.150000"
Xylotymbou,Cyprus,"0.089333"
Yambol,Bulgaria,"0.094667"
Yeri,Cyprus,"0.151333"
Yiolou,Cyprus,"0.040000"
York,"United Kingdom","0.032000"
Ypsonas,Cyprus,"0.056000"
Zaandam,Netherlands,"0.237333"
Zaanstad,Netherlands,"0.221333"
Zadar,Croatia,"0.004000"
Zagreb,Croatia,"0.050000"
"Zagreb - Centar",Croatia,"0.046667"
Zapresic,Croatia,"0.052000"
Zatec,"Czech Republic","0.046000"
Zaventem,Belgium,"0.195333"
Zedelgem,Belgium,"0.078667"
Zeist,Netherlands,"0.118000"
"Zell am See",Austria,"0.000667"
Zlin,"Czech Republic","0.014000"
Znojmo,"Czech Republic","0.002000"
Zoetermeer,Netherlands,"0.266667"
Zottegem,Belgium,"0.072000"
Zupanja,Croatia,"0.003333"
"Zwettl Stift",Austria,"0.004000"
Zwevegem,Belgium,"0.137333"
Zwolle,Netherlands,"0.065333"
